datetime,city,station,PM2_5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed,data_source,AQI,AQI_Category
2025-12-28 21:18:16.779355872,Gurugram,"Vikas Sadan, Gurugram - HSPCB",44.695683767695215,47.63020329747857,2.0,1.786866466828453,0.7849773422603938,42.09880496158536,31.565866960127565,46.45101519544886,2.9528102208412492,Synthetic,74,Satisfactory
2024-10-05 14:40:46.956521736,Delhi,"R K Puram, Delhi - DPCC",74.70936078421194,101.72857100578119,44.550994782458105,39.411495230102176,0.8326755001200725,16.92187944263764,35.184857925765584,66.72033467114797,1.234812246587202,Synthetic,148,Moderately Polluted
2024-12-12 06:01:36.499299864,Lucknow,"Talkatora, Lucknow - CPCB",14.402947680123894,30.53239195224659,41.80888865768634,19.82506752161242,1.1969882774823626,68.82425459479009,32.50506159207914,38.13536272232605,4.225517032912998,Synthetic,98,Satisfactory
2025-02-24 09:14:34.254850976,Gurugram,"Vikas Sadan, Gurugram - HSPCB",76.72026696638031,124.59114019946315,40.67947281859793,16.627920338835235,1.159798952115636,65.0809210859995,39.02779177496154,64.08932405005615,3.7015145501943088,Synthetic,155,Moderately Polluted
2025-03-01 07:15:00+00:00,Delhi,"Anand Vihar, New Delhi - DPCC",67.0,127.0,70.6,22.3,1.12,11.7,26.0,56.0,1.5,OpenAQ - Real,153,Moderately Polluted
2025-09-12 18:50:15.652173912,Delhi,"Punjabi Bagh, Delhi - DPCC",21.84670567584991,48.3275992497633,14.169679199300415,19.394923436469288,1.3026800304367983,69.65253959627309,31.318820210196918,94.71729077354144,0.8594220060349445,Synthetic,70,Satisfactory
2025-11-16 16:05:48.260869560,Jodhpur,"Collectorate, Jodhpur - RSPCB",71.75604295905669,142.8305091988191,40.93342067598377,12.824243686041404,0.814019340463414,21.105621613824663,32.45276596710169,44.00442016257568,2.48711553477407,Synthetic,138,Moderately Polluted
2025-11-25 22:33:44.347826080,Nashik,"Gangapur Road, Nashik - MPCB",55.69362085962668,90.41063133100255,44.88437364276268,3.0629217488288436,0.4466572721337093,23.56676732857637,11.780270626016437,44.59402896872465,1.5211827903762343,Synthetic,104,Moderately Polluted
2025-12-29 20:09:02.608695648,Lucknow,"Talkatora, Lucknow - CPCB",59.68162301306265,122.47401277739284,38.082209691350464,25.121458409413705,1.3571090979196345,46.380532580133966,20.262603027218102,56.77243702632701,1.5344465161985565,Synthetic,115,Moderately Polluted
2025-06-20 11:37:42.692538512,Nashik,"Gangapur Road, Nashik - MPCB",131.50877398188038,218.57189165709687,49.17321472294778,18.069424078937672,1.3686697057115773,33.06650496962406,24.802748555975985,40.40369736467939,3.8743119173989085,Synthetic,309,Very Poor
2024-04-23 07:42:32.190438088,Lucknow,"Talkatora, Lucknow - CPCB",86.14500169943176,117.22401656921073,31.07552212289054,18.916720337665897,1.0127194092601581,17.929004805135502,22.083216492921153,43.33673391028919,0.6250452829678679,Synthetic,187,Moderately Polluted
2025-02-19 09:55:35.707141432,Delhi,"R K Puram, Delhi - DPCC",72.3772892082159,107.36670467920018,33.49437477251404,16.548451645852168,1.5776173343715958,35.0350407061774,24.167363911379336,42.2436292273392,2.662137691230571,Synthetic,140,Moderately Polluted
2024-11-02 16:25:57.391304344,Agra,"Sanjay Palace, Agra - UPPCB",48.315587588674745,110.97641868961172,43.32506895117494,29.887845300760823,0.9221530646686656,50.67953608481757,25.513051538502022,67.68762261719338,3.5507939796415275,Synthetic,500,Severe
2025-04-19 14:14:15.652173912,Jodhpur,"Collectorate, Jodhpur - RSPCB",64.78020828228047,114.61463213331865,27.919139370682593,16.15404399438797,0.1,40.95672413444272,20.20102792878879,67.76385836543378,2.8360312357491795,Synthetic,114,Moderately Polluted
2025-01-12 23:32:43.112622528,Gurugram,"Vikas Sadan, Gurugram - HSPCB",41.25394042675377,58.94927034763913,30.112134092794506,31.386113801396483,0.6854475776936113,58.07858285623067,28.462235709645476,49.78593742599086,2.5112955708104794,Synthetic,101,Moderately Polluted
2024-12-04 22:33:42.164432888,Hyderabad,"Zoo Park, Hyderabad - TSPCB",96.20598227493552,204.5608739864153,41.0467257964133,25.79368228644114,1.4345022925447009,50.16124149483099,24.398889396462856,26.0364034988448,3.168363903062195,Synthetic,500,Severe
2024-02-29 14:08:09.130434782,Delhi,"Anand Vihar, New Delhi - DPCC",53.153149592585564,82.60516911011682,39.150052946901766,8.955975675610016,1.7847721986669192,41.70223604640553,22.19504832477789,52.19585343498577,2.774724500947561,Synthetic,92,Satisfactory
2024-06-15 20:22:49.565217390,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",53.476887429887455,118.63329327642242,51.31326261439696,21.75486557510174,1.6152273707758933,53.566970609999196,23.995402072203397,73.79115139778206,1.551761663914573,Synthetic,117,Moderately Polluted
2024-01-12 02:42:24.988997799,Agra,"Sanjay Palace, Agra - UPPCB",84.86737620797268,124.34055618921697,39.76964851040144,14.31388592450898,1.3046823652551554,45.62896488851153,18.954194110265696,76.45998336879723,1.695873639191654,Synthetic,182,Moderately Polluted
2025-01-23 08:42:20.668133628,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",99.5487375164353,167.53500787795247,24.796635576245336,18.63530287854194,1.5689177281843179,23.117814186604587,7.701784817193051,54.95197333177162,0.7872477364943804,Synthetic,230,Poor
2025-12-28 14:17:09.805961200,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",31.450792495440695,40.863463991779724,14.500918643829754,25.503168141794163,0.3063684700483867,48.32416945871846,20.289863684215856,64.11753019978941,1.8811009776870509,Synthetic,83,Satisfactory
2024-08-13 15:26:52.173913044,Jodhpur,"Collectorate, Jodhpur - RSPCB",82.51236105941337,106.62021135844174,16.496972111583567,15.850939293910795,1.6147361326545069,28.904916733240555,44.29992167298835,56.772109048351844,2.3777160413123,Synthetic,174,Moderately Polluted
2025-03-05 22:00:00+00:00,Delhi,"Anand Vihar, New Delhi - DPCC",56.0,127.0,60.9,32.8,1.09,27.1,19.4,54.0,0.7,OpenAQ - Real,135,Moderately Polluted
2025-12-25 05:34:19.611922392,Jodhpur,"Collectorate, Jodhpur - RSPCB",24.582140485049607,73.84427227018142,21.314688519858226,17.818303785929757,0.22132917957305487,47.62403587554256,19.85286687245718,32.44135198010398,2.543784848279063,Synthetic,500,Severe
2025-03-01 01:30:00+00:00,Delhi,"R K Puram, Delhi - DPCC",57.0,72.0,29.6,29.5,0.66,13.9,19.8,90.0,0.3,OpenAQ - Real,97,Satisfactory
2025-08-21 08:03:47.565513104,Delhi,"Anand Vihar, New Delhi - DPCC",65.56210655523311,110.07238106917234,51.45506496391416,22.990299914694802,1.190074224164219,29.82595279679602,21.23777910306933,43.131725626101456,2.1467701518812534,Synthetic,117,Moderately Polluted
2025-09-30 16:37:49.893978800,Jodhpur,"Collectorate, Jodhpur - RSPCB",20.049109114383945,30.36912189786654,36.496648963490976,18.088256532473473,2.382763647778058,54.21878962643828,38.993609540714075,45.80716193646104,1.2395713904637538,Synthetic,86,Satisfactory
2025-02-21 17:15:00+00:00,Delhi,"Anand Vihar, New Delhi - DPCC",69.0,144.0,63.3,0.5,1.77,9.2,21.4,75.0,0.3,OpenAQ - Real,139,Moderately Polluted
2024-02-06 16:50:05.161032206,Delhi,"Punjabi Bagh, Delhi - DPCC",76.14699707529681,152.89285124368322,36.57396441327081,20.088334717594797,1.135111360128258,30.650284835365618,38.01784246794391,31.954169352270725,2.319422346957764,Synthetic,153,Moderately Polluted
2025-02-26 07:00:00+00:00,Delhi,"Punjabi Bagh, Delhi - DPCC",195.0,294.0,51.3,39.1,1.11,122.2,26.6,40.0,0.3,OpenAQ - Real,358,Very Poor
2024-10-16 05:23:56.687337468,Hyderabad,"Zoo Park, Hyderabad - TSPCB",80.72479877070418,165.78476875952,35.5653411079492,21.356255184809754,0.9881224358347066,61.61407103061482,14.010748088827889,75.64000717408767,1.2135555927502264,Synthetic,168,Moderately Polluted
2024-09-22 05:52:24.868973796,Agra,"Sanjay Palace, Agra - UPPCB",51.955227421610005,83.20749981773929,36.0519732671441,16.493445626639996,1.3007500036896034,49.52984897800166,7.28539104279227,61.744269046671896,1.498055717103696,Synthetic,86,Satisfactory
2024-10-02 18:32:35.911182240,Gurugram,"Vikas Sadan, Gurugram - HSPCB",78.60643671238451,141.2780471376364,58.9918707198569,24.913670933130614,0.8490287272446063,5.0,23.617852431161538,64.50632939340842,2.2285417388893536,Synthetic,161,Moderately Polluted
2025-04-02 16:06:53.362672536,Agra,"Sanjay Palace, Agra - UPPCB",62.34576698751312,106.43082024618529,52.82022717225917,20.46322242804809,1.9668190020209724,37.816146516281975,17.218479245979694,63.43699557241181,2.020816434710515,Synthetic,119,Moderately Polluted
2025-11-23 00:38:40.434782608,Gurugram,"Vikas Sadan, Gurugram - HSPCB",29.69890790192138,39.24726840901699,20.52964369591765,1.0736720822826458,0.2714282163398807,66.50764456128162,27.97300010621006,62.64953843933728,2.2990392803451596,Synthetic,67,Satisfactory
2024-05-01 13:28:37.826086956,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",18.08689930783126,58.936789191133855,25.3500160192376,10.791861592011522,0.9043314220284981,55.51600350995959,14.019909737329098,55.7931990890066,2.08553320931074,Synthetic,59,Satisfactory
2025-04-15 23:27:40.652130432,Nashik,"Gangapur Road, Nashik - MPCB",39.92721148500616,71.41233457702563,22.12629154016351,24.19968619439234,1.4982752550722431,53.07194453041201,25.35917638555295,53.04125574399056,2.045701959198488,Synthetic,79,Satisfactory
